country_code,site_id,smr_key,bucket,hard_criteria,floor_criteria,n_hard,n_floor,n_distinct_failures
PL,40650551-0c9c-45ea-bac6-befdb0cb5909,nuscale_voygr6,hard_only,EP-01,,1,0,1
PL,409dde58-5df1-44d9-b5ec-f8e2edd86786,nuscale_voygr6,hard_only,EP-01,,1,0,1
PL,40b4334a-7ba4-4ed8-aa8e-3c405599fbd7,nuscale_voygr6,hard_only,EP-01,,1,0,1
PL,416aab55-6fd9-4a0a-b8f8-796fb62d86a5,nuscale_voygr6,both,EP-01|NH-05,NH-04|NH-05,2,2,3
PL,4411a22e-4e8a-4715-b000-1aae34494b68,nuscale_voygr6,floor_only,,EP-01,0,1,1
PL,47be3ec4-7abe-4f4c-ac3d-b7f753b8514a,nuscale_voygr6,floor_only,,EP-01|NH-04,0,2,2
PL,52db4dae-b014-45a4-96c4-49f80c1fdd11,nuscale_voygr6,survived,,,0,0,0
PL,558e7bff-5b5d-4666-9ca3-ec02f2269aab,nuscale_voygr6,survived,,,0,0,0
PL,5a57ae0a-6f91-46f4-a1f5-56a6b37596e9,nuscale_voygr6,both,NH-05,EP-01|NH-04|NH-05,1,3,3
PL,66bdc30c-4179-480b-a55a-5d15be5ac66b,nuscale_voygr6,floor_only,,EP-01,0,1,1
PL,73fe8f06-c53b-4877-9c1d-5caf3d8f2749,nuscale_voygr6,both,EP-01,NH-04,1,1,2
PL,7fc17ab0-ce24-4830-a938-b8424d1e9368,nuscale_voygr6,floor_only,,EP-01,0,1,1
PL,8a9d5c87-7edc-49c3-85a2-d97727b9c9b2,nuscale_voygr6,floor_only,,EP-01|NH-04,0,2,2
PL,8dd8db4c-b62d-4f6b-a2ee-70a9ed785e7a,nuscale_voygr6,both,EP-01,NH-04,1,1,2
PL,8e485f8a-5c68-4541-ab1d-77783f6fcb2d,nuscale_voygr6,floor_only,,NH-04,0,1,1
PL,917008f5-fba1-4ef7-b82d-9aded2b69267,nuscale_voygr6,floor_only,,EP-01,0,1,1
PL,9f4a0d6c-e2fa-4e9b-b412-d779d4abf82c,nuscale_voygr6,hard_only,EP-01,,1,0,1
PL,a19228ce-f25a-4ffd-a249-9d01403e6b81,nuscale_voygr6,floor_only,,EP-01,0,1,1
PL,a55e3643-8ed4-434b-b14f-2d549d09c0d9,nuscale_voygr6,survived,,,0,0,0
PL,a67255dd-8134-418e-9377-e28516c53722,nuscale_voygr6,floor_only,,EP-01,0,1,1
PL,a6b51b4f-ba1d-49cd-bc99-8898acdbeb78,nuscale_voygr6,floor_only,,EP-01|NH-04,0,2,2
PL,a7eeee6e-e14a-40ba-80b6-75ed2e170b20,nuscale_voygr6,floor_only,,EP-01,0,1,1
PL,a91dfe3d-93e0-43a1-99d2-41abdd1fc2ce,nuscale_voygr6,both,EP-01|NH-05,NH-04|NH-05,2,2,3
PL,ab57f5c3-8699-46f9-970f-3007dfc58af4,nuscale_voygr6,floor_only,,EP-01|NS-08,0,2,2
PL,ad7a9c00-0c75-411f-8f89-859e603df1e6,nuscale_voygr6,hard_only,EP-01,,1,0,1
PL,b24c9876-5a4d-4b83-b442-af2f4b0d1047,nuscale_voygr6,both,NH-05,EP-01|NH-04|NH-05,1,3,3
PL,b24f9ac5-5ddf-4b19-ba95-76dafeca3d2c,nuscale_voygr6,floor_only,,EP-01,0,1,1
PL,b789a244-7d29-4be3-afe4-2f45d7f11eab,nuscale_voygr6,both,EP-01,NH-04|NH-05,1,2,3
PL,b8a00967-90a3-4a4e-9979-6b8651d87380,nuscale_voygr6,floor_only,,EP-01|NH-04,0,2,2
PL,b8bc6544-1571-4906-95e0-314d62c78a24,nuscale_voygr6,floor_only,,EP-01,0,1,1
PL,c39819ef-6798-4c01-9a82-9eead65b5f56,nuscale_voygr6,floor_only,,EP-01,0,1,1
PL,c42c5942-264d-43a1-a9eb-95b00480eb1a,nuscale_voygr6,both,EP-01|NH-05,NH-04|NH-05,2,2,3
PL,c4d7f628-c108-4496-ac02-6076ea3ae448,nuscale_voygr6,both,NH-05,EP-01|NH-04|NH-05,1,3,3
PL,ccc15bde-1c5a-40bf-8f09-2fcb1e896ce5,nuscale_voygr6,floor_only,,EP-01|NH-04,0,2,2
PL,cd84938d-eea8-47a1-8ea6-2e9f943e5914,nuscale_voygr6,both,NH-05,EP-01|NH-05,1,2,2
PL,cdc888ad-fd51-4710-a5ab-3cd0fe9ddb48,nuscale_voygr6,floor_only,,EP-01,0,1,1
PL,d3b5a049-6bff-400b-9312-96985f03acea,nuscale_voygr6,both,EP-01|NH-05,NH-04|NH-05,2,2,3
PL,d40cdaf1-49e4-4c59-a6c8-2402cd2bf006,nuscale_voygr6,hard_only,EP-01,,1,0,1
PL,d60b377c-9bb4-4fd5-adb7-a9a9ba98ae76,nuscale_voygr6,floor_only,,EP-01|NH-04,0,2,2
PL,dadadad9-b67e-44b8-a9ab-4cbf116da20b,nuscale_voygr6,survived,,,0,0,0
PL,dc87cdf1-9936-4a59-a5e9-b5e360173490,nuscale_voygr6,both,EP-01,NH-04,1,1,2
PL,de6735bd-7a79-43c8-baad-1fe23d50d6f0,nuscale_voygr6,floor_only,,EP-01|NH-04,0,2,2
PL,e2c23866-db1e-4316-82b5-7e3fe50c3c09,nuscale_voygr6,hard_only,EP-01,,1,0,1
PL,e4e3b5f0-7038-47a5-84e3-04eb07b3c4d7,nuscale_voygr6,floor_only,,EP-01,0,1,1
PL,e9a1ae49-ff79-462c-af4e-7c6843221d36,nuscale_voygr6,hard_only,EP-01,,1,0,1
PL,ebc0f461-acfa-47da-8094-5b15ea3e25a0,nuscale_voygr6,floor_only,,EP-01|NH-04,0,2,2
PL,ee332928-87b2-4e7b-9203-20e402bc551f,nuscale_voygr6,floor_only,,EP-01,0,1,1
PL,ef2ee2ae-e73e-490c-aa07-746543fe20e6,nuscale_voygr6,both,EP-01,NH-04,1,1,2
PL,f5be4e73-938d-4fe2-b585-5090ec780670,nuscale_voygr6,floor_only,,EP-01,0,1,1
PL,f8f9f43d-6a3b-445d-818e-ca82a90ace65,nuscale_voygr6,floor_only,,EP-01,0,1,1
RO,18ecb024-ee4f-4045-8254-5e95d61dea8c,nuscale_voygr6,floor_only,,EP-01,0,1,1
RO,1d8be6d0-f3a5-4b32-9d46-3526289731f8,nuscale_voygr6,floor_only,,EP-01,0,1,1
RO,29836b52-a882-4921-95a7-6417e636d9a2,nuscale_voygr6,survived,,,0,0,0
RO,323cdbf0-c4a8-467a-af76-e2e3df0b537f,nuscale_voygr6,survived,,,0,0,0
RO,345fb795-170a-4fb5-833c-f6bcf2eb450c,nuscale_voygr6,survived,,,0,0,0
RO,3bef37a3-239e-498d-a160-77452a6a9b79,nuscale_voygr6,floor_only,,EP-01,0,1,1
RO,52a7babe-313f-493b-86b9-bd0c4aece4c3,nuscale_voygr6,both,NH-05,NH-04|NH-05,1,2,2
RO,5a33e5f0-6d86-4eab-adea-6c6bad7f3f45,nuscale_voygr6,floor_only,,EP-01,0,1,1
RO,693d9b73-f9fc-4502-9b94-be020c5d21fb,nuscale_voygr6,floor_only,,EP-01,0,1,1
RO,6aed2eac-1c97-40c5-b842-fb15fd510f35,nuscale_voygr6,floor_only,,EP-01,0,1,1
RO,6c428b2a-ad09-448b-b24c-22465929d69c,nuscale_voygr6,both,EP-01|NH-05,NH-05,2,1,2
RO,729f8d17-57c0-4d9a-adab-4b612d4abde5,nuscale_voygr6,both,EP-01,NH-05,1,1,2
RO,825dc024-9a53-4237-bf59-cbe0af0cf87d,nuscale_voygr6,floor_only,,EP-01,0,1,1
RO,8781d874-5923-4795-9c9f-b2a6c709025a,nuscale_voygr6,hard_only,EP-01,,1,0,1
RO,958e4d82-853a-41f1-a442-94b4c4314221,nuscale_voygr6,floor_only,,EP-01|NH-04,0,2,2
