country_code,smr_key,rank,site_id,site_name,composite_score,composite_score_low,composite_score_high,qualification_mode,family_scores_json
MK,nuscale_voygr6,3,756218bb-3f16-443e-b6c6-400cd0ce2f87,Oslomej power station,6.181,5.442,6.697,normal,"{""categories"": {""EP"": 5.97, ""HI"": 7.67, ""NH"": 6.6, ""NS"": 4.02, ""RI"": 5.86}, ""notes"": [""high_unscored_fraction""], ""unscored_fraction"": 0.2323}"
PL,nuscale_voygr6,1,2981a12d-3444-4301-96ba-a63ef50bec3e,Polaniec power station,7.684,6.785,8.219,normal,"{""categories"": {""EP"": 6.68, ""HI"": 7.61, ""NH"": 7.44, ""NS"": 8.59, ""RI"": 7.64}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
PL,nuscale_voygr6,2,b24f9ac5-5ddf-4b19-ba95-76dafeca3d2c,Pólnoc power station,7.284,6.462,7.869,normal,"{""categories"": {""EP"": 5.97, ""HI"": 6.87, ""NH"": 8.02, ""NS"": 7.67, ""RI"": 6.93}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
PL,nuscale_voygr6,3,e4e3b5f0-7038-47a5-84e3-04eb07b3c4d7,Adamow power station,7.227,6.245,7.822,normal,"{""categories"": {""EP"": 6.68, ""HI"": 7.41, ""NH"": 7.93, ""NS"": 6.69, ""RI"": 6.71}, ""notes"": [""high_unscored_fraction""], ""unscored_fraction"": 0.2323}"
PL,nuscale_voygr6,4,917008f5-fba1-4ef7-b82d-9aded2b69267,Gubin Power Project,7.222,6.412,7.803,normal,"{""categories"": {""EP"": 5.97, ""HI"": 6.47, ""NH"": 7.58, ""NS"": 8.53, ""RI"": 6.71}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
PL,nuscale_voygr6,5,239ea0eb-a9c4-43cc-ac5f-35271bdc6613,Kedzierzyn CCS Project,7.191,6.386,7.737,normal,"{""categories"": {""EP"": 6.68, ""HI"": 7.41, ""NH"": 8.07, ""NS"": 6.36, ""RI"": 6.86}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
PL,nuscale_voygr6,6,52db4dae-b014-45a4-96c4-49f80c1fdd11,Opalenie power station,7.184,6.381,7.769,normal,"{""categories"": {""EP"": 6.68, ""HI"": 6.19, ""NH"": 7.93, ""NS"": 7.67, ""RI"": 6.93}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
PL,nuscale_voygr6,7,dadadad9-b67e-44b8-a9ab-4cbf116da20b,Puchaczow power station,7.153,6.356,7.65,normal,"{""categories"": {""EP"": 6.68, ""HI"": 5.93, ""NH"": 7.44, ""NS"": 8.13, ""RI"": 7.29}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
PL,nuscale_voygr6,8,558e7bff-5b5d-4666-9ca3-ec02f2269aab,Dolna Odra power station,7.134,6.341,7.769,normal,"{""categories"": {""EP"": 5.97, ""HI"": 6.87, ""NH"": 7.67, ""NS"": 7.44, ""RI"": 6.93}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
PL,nuscale_voygr6,9,7fc17ab0-ce24-4830-a938-b8424d1e9368,Swiecie Pulp Mill power station,7.116,6.326,7.731,normal,"{""categories"": {""EP"": 7.38, ""HI"": 7.41, ""NH"": 7.93, ""NS"": 6.24, ""RI"": 6.36}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
PL,nuscale_voygr6,10,a55e3643-8ed4-434b-b14f-2d549d09c0d9,Zarnowiec power station,6.984,6.058,7.579,normal,"{""categories"": {""EP"": 5.97, ""HI"": 7.27, ""NH"": 7.49, ""NS"": 6.83, ""RI"": 6.57}, ""notes"": [""high_unscored_fraction""], ""unscored_fraction"": 0.2323}"
RO,nuscale_voygr6,1,345fb795-170a-4fb5-833c-f6bcf2eb450c,Turceni power station,7.816,6.891,8.256,normal,"{""categories"": {""EP"": 6.68, ""HI"": 7.53, ""NH"": 7.8, ""NS"": 8.36, ""RI"": 8.21}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
RO,nuscale_voygr6,2,958e4d82-853a-41f1-a442-94b4c4314221,Rovinari power station,7.159,6.361,7.7,normal,"{""categories"": {""EP"": 4.32, ""HI"": 7.9, ""NH"": 7.53, ""NS"": 7.21, ""RI"": 7.29}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
RO,nuscale_voygr6,3,af7f107f-71b5-5a33-8125-9ccb7060f895,Iernut power station,7.114,5.285,7.555,normal,"{""categories"": {""EP"": 4.32, ""HI"": 7.94, ""NH"": 6.57, ""NS"": 8.26, ""RI"": 7.67}, ""notes"": [""high_unscored_fraction""], ""unscored_fraction"": 0.4444}"
RO,nuscale_voygr6,4,52a7babe-313f-493b-86b9-bd0c4aece4c3,Mintia-Deva power station,7.016,6.245,7.487,normal,"{""categories"": {""EP"": 5.26, ""HI"": 6.21, ""NH"": 7.76, ""NS"": 7.9, ""RI"": 6.79}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
RO,nuscale_voygr6,5,29836b52-a882-4921-95a7-6417e636d9a2,Braila power station,6.784,6.058,7.275,normal,"{""categories"": {""EP"": 5.26, ""HI"": 7.27, ""NH"": 7.44, ""NS"": 7.5, ""RI"": 5.14}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
RO,nuscale_voygr6,6,825dc024-9a53-4237-bf59-cbe0af0cf87d,Govora power station,6.703,5.992,7.125,normal,"{""categories"": {""EP"": 5.97, ""HI"": 7.53, ""NH"": 7.53, ""NS"": 7.16, ""RI"": 4.21}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
RO,nuscale_voygr6,7,693d9b73-f9fc-4502-9b94-be020c5d21fb,Suceava power station,6.653,5.952,7.144,normal,"{""categories"": {""EP"": 6.68, ""HI"": 5.13, ""NH"": 7.31, ""NS"": 7.44, ""RI"": 6.5}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
RO,nuscale_voygr6,8,c3790475-3d3b-4e2b-92ae-24503fe03e6b,Romag Termo power station,6.491,5.821,6.962,normal,"{""categories"": {""EP"": 5.97, ""HI"": 5.93, ""NH"": 7.53, ""NS"": 7.79, ""RI"": 4.21}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
RO,nuscale_voygr6,9,aff5ffe6-fe7a-4de7-afad-9d4645a64cd9,Doicesti power station,6.478,5.811,6.95,normal,"{""categories"": {""EP"": 5.26, ""HI"": 6.33, ""NH"": 7.53, ""NS"": 6.81, ""RI"": 5.29}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
RO,nuscale_voygr6,10,9825e28e-fd6e-460d-9caf-0342563f9060,Paroseni power station,6.441,5.78,6.912,normal,"{""categories"": {""EP"": 2.91, ""HI"": 7.41, ""NH"": 7.4, ""NS"": 5.73, ""RI"": 6.71}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
RS,nuscale_voygr6,1,296282b1-d079-4c1e-b2df-12c25128b963,Štavalj Power Station,6.753,5.928,7.175,normal,"{""categories"": {""EP"": 4.32, ""HI"": 7.41, ""NH"": 6.87, ""NS"": 6.41, ""RI"": 7.64}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
RS,nuscale_voygr6,2,2b03f2e2-64ac-4262-bbff-7a536bda5722,Morava power station,6.716,6.003,7.256,normal,"{""categories"": {""EP"": 5.97, ""HI"": 7.41, ""NH"": 7.31, ""NS"": 6.01, ""RI"": 6.21}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
RS,nuscale_voygr6,3,993ccce2-d5e1-498d-827d-8dbfeb42582b,Kostolac power station,6.634,5.906,7.244,normal,"{""categories"": {""EP"": 5.97, ""HI"": 6.47, ""NH"": 7.27, ""NS"": 6.64, ""RI"": 6.21}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
RS,nuscale_voygr6,4,0182ec25-0df9-4e4b-9861-d76a332bc282,Kolubara A power station,6.559,5.831,7.069,normal,"{""categories"": {""EP"": 6.68, ""HI"": 8.01, ""NH"": 7.13, ""NS"": 5.9, ""RI"": 4.57}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
RS,nuscale_voygr6,5,5d4aee8d-9e73-4987-907a-d092e0ba92ed,Kovin power station,6.503,5.831,7.094,normal,"{""categories"": {""EP"": 5.97, ""HI"": 5.81, ""NH"": 7.04, ""NS"": 7.56, ""RI"": 5.5}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
RS,nuscale_voygr6,6,d30af109-79cb-4ab5-a878-6f574b58116a,Kolubara B power station,6.472,5.744,6.981,normal,"{""categories"": {""EP"": 6.68, ""HI"": 8.01, ""NH"": 6.82, ""NS"": 5.9, ""RI"": 4.57}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
RS,nuscale_voygr6,7,c8f15aca-174b-4be6-a6d9-abfa4685d10d,Nikola Tesla power station,6.453,5.694,6.994,normal,"{""categories"": {""EP"": 5.97, ""HI"": 6.21, ""NH"": 7.31, ""NS"": 7.79, ""RI"": 4.0}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
SK,nuscale_voygr6,1,770f1d3c-e5fd-493c-a376-e708d2abec6c,Vojany I power station,7.022,6.25,7.481,normal,"{""categories"": {""EP"": 5.26, ""HI"": 7.27, ""NH"": 6.78, ""NS"": 7.73, ""RI"": 7.29}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
SK,nuscale_voygr6,2,c97125b3-20ed-4e21-a853-b928644ec7dd,Novaky power station,6.978,6.215,7.5,normal,"{""categories"": {""EP"": 3.62, ""HI"": 7.41, ""NH"": 7.49, ""NS"": 6.99, ""RI"": 7.64}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
SK,nuscale_voygr6,3,1719d38b-61e8-4b01-844b-3a2f85c8a186,Trebisov power station,6.741,6.023,7.281,normal,"{""categories"": {""EP"": 5.97, ""HI"": 6.21, ""NH"": 7.18, ""NS"": 7.39, ""RI"": 6.36}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
SK,nuscale_voygr6,4,06defca3-9105-437f-afd4-52f5603d9b8e,Martinska power station,6.303,5.669,6.775,normal,"{""categories"": {""EP"": 5.97, ""HI"": 6.21, ""NH"": 6.11, ""NS"": 7.21, ""RI"": 5.79}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
