site_id,name,country_code,latitude,longitude,smr_key,criterion_id,baseline_score,baseline_quality_flag,baseline_confidence,candidate_score,candidate_quality_flag,candidate_band,baseline_justification,fields_json
93685558-3355-4da2-9a4a-4cccd89f9269,Sliven power station,BG,42.654762,26.325853,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:10.001924+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
2fb27566-cc7b-4530-8ff9-e55e3a1985bd,Svilosa power station,BG,43.642272,25.305007,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:10.106200+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
85c56b15-450b-4bb1-b75e-5ea00ee51cb2,Varna power station,BG,43.19477,27.765472,nuscale_voygr6,EP-03,,,,1.5,scored,No measured relief; major river barrier (interim).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:10.200367+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": true, ""relief_m_per_10km"": null, ""waterway_count_epz"": 46}"
a064c7ae-e699-4a94-a18c-79bdfe42bce3,Vidin Works power station,BG,43.948363,22.850904,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:10.300314+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
68aabff9-e662-4b9f-b37d-4c2ebc5f7539,Lelchitsy power station,BY,51.789444,28.321389,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:10.399298+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
fac3d0b5-36a5-48ae-8494-f2f08e4342f4,Zelwa power station,BY,53.15,24.8167,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:10.502130+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
d762ceeb-514f-43a6-9f91-a2d422ed6c60,Chvaletice power station,CZ,50.028062,15.450504,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:10.606381+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
a733fc13-11a4-4722-b62d-85c85a4f8ef3,Detmarovice power station,CZ,49.907184,18.464559,nuscale_voygr6,EP-03,,,,1.5,scored,No measured relief; major river barrier (interim).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:10.697784+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": true, ""relief_m_per_10km"": null, ""waterway_count_epz"": 224}"
180880c2-7284-4723-b02a-a62348b9b40b,Hodonin power station,CZ,48.847759,17.120129,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:10.805594+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
43e5b2b4-2ccf-46ab-b01e-e3d480146455,Karvina power station,CZ,49.823463,18.480287,nuscale_voygr6,EP-03,,,,1.5,scored,No measured relief; major river barrier (interim).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:10.909243+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": true, ""relief_m_per_10km"": null, ""waterway_count_epz"": 124}"
f1d2bca1-a7a9-4404-84c1-34fc8a59dab7,Kladno power station,CZ,50.1535,14.12858,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:11.004817+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
274ec928-e527-44cf-86c5-b6eddc09d0f7,Komorany power station,CZ,50.522288,13.572102,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:11.105532+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
2fe0a0b3-4108-427e-8e54-f77e1ea7227c,Ledvice power station,CZ,50.57658,13.779761,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:11.213488+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
1c059a42-608c-4753-8fcf-ba797d94f900,Malesice power station,CZ,50.084967,14.525273,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:11.313965+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
cbd67443-4a4e-44fd-a9ed-20ba9574c99e,Marianske Hory power station,CZ,49.86,18.27,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:11.422196+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
f3523341-daaa-4573-a856-becb2e1bb9e3,Melnik power station,CZ,50.413132,14.41582,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:11.525498+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
e299922a-1670-4aff-acda-fd80600af9af,Mondi Steti power station,CZ,50.460918,14.375854,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:11.620020+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
4eb7914c-e000-403c-b5a5-c350de67bb83,Mostecka Power Station,CZ,50.503,13.63617,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:11.716339+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
44d40276-5847-41d1-ab9b-887bbdc1bcfe,Olomouc power station,CZ,49.570879,17.304121,nuscale_voygr6,EP-03,,,,1.5,scored,No measured relief; major river barrier (interim).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:11.813748+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": true, ""relief_m_per_10km"": null, ""waterway_count_epz"": 122}"
05daa6b2-bb29-4c26-a459-855626673955,Opatovice power station,CZ,50.12283,15.790765,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:11.918111+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
9c4291f1-173b-467e-ae26-8cb01312c605,Plana Nad Luznici power station,CZ,49.368459,14.702139,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:12.016915+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
97ed917e-acfa-4002-be89-4ec44972ab45,Plzen CHP power station,CZ,49.754333,13.398754,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:12.104958+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
a6bf9980-016e-47ea-b40a-82e384a9eb43,Plzenska energetika ELU III power station,CZ,49.739529,13.345461,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:12.191707+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
32484f7b-18a4-4b21-8e6a-6d68ae099d02,Pocerady power station,CZ,50.4267,13.6747,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:12.278778+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
20bce4f5-ca0b-4145-87e5-0a0694343f31,Porici power station,CZ,50.572812,15.963992,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:12.367965+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
