criterion_a,criterion_b,pearson,spearman,max_abs,n_pairs,flagged
NH-07,NS-03,0.0,0.0,0.0,2904,False
NH-07,RI-01,0.0,0.0,0.0,2904,False
NH-07,NS-04,0.0,0.0,0.0,2904,False
NH-07,NS-05,0.0,0.0,0.0,2904,False
NH-07,NS-06,0.0,0.0,0.0,2904,False
NH-07,NS-07,0.0,0.0,0.0,2904,False
NH-07,NS-08,0.0,0.0,0.0,2904,False
NH-07,NS-09,0.0,0.0,0.0,2904,False
NH-07,NS-10,0.0,0.0,0.0,2904,False
NH-07,NS-11,0.0,0.0,0.0,2904,False
NH-07,NS-12,0.0,0.0,0.0,2904,False
NH-07,NS-13,0.0,0.0,0.0,2904,False
NH-08,RI-01,0.0,0.0,0.0,2904,False
NH-09,RI-01,0.0,0.0,0.0,2904,False
NH-08,RI-03,0.0,0.0,0.0,2904,False
NH-10,NS-07,0.0,0.0,0.0,2904,False
NH-10,NH-11,0.0,0.0,0.0,2904,False
NH-10,NH-12,0.0,0.0,0.0,2904,False
NH-10,NH-13,0.0,0.0,0.0,2904,False
NH-10,NH-14,0.0,0.0,0.0,2904,False
NH-10,NS-01,0.0,0.0,0.0,2904,False
NH-10,NS-02,0.0,0.0,0.0,2904,False
NH-10,NS-03,0.0,0.0,0.0,2904,False
NH-10,NS-04,0.0,0.0,0.0,2904,False
NH-10,NS-05,0.0,0.0,0.0,2904,False
NH-10,NS-06,0.0,0.0,0.0,2904,False
NH-10,NS-08,0.0,0.0,0.0,2904,False
NH-09,RI-05,0.0,0.0,0.0,2904,False
NH-10,NS-09,0.0,0.0,0.0,2904,False
NH-10,NS-10,0.0,0.0,0.0,2904,False
NH-10,NS-11,0.0,0.0,0.0,2904,False
NH-10,NS-12,0.0,0.0,0.0,2904,False
NH-10,NS-13,0.0,0.0,0.0,2904,False
NH-10,RI-01,0.0,0.0,0.0,2904,False
NH-10,RI-02,0.0,0.0,0.0,2904,False
NH-10,RI-03,0.0,0.0,0.0,2904,False
NH-10,RI-04,0.0,0.0,0.0,2904,False
NH-10,RI-05,0.0,0.0,0.0,2904,False
NH-09,RI-06,0.0,0.0,0.0,2904,False
NH-09,RI-04,0.0,0.0,0.0,2904,False
NH-08,RI-04,0.0,0.0,0.0,2904,False
NH-09,NS-04,0.0,0.0,0.0,2904,False
NH-08,RI-05,0.0,0.0,0.0,2904,False
NH-08,RI-06,0.0,0.0,0.0,2904,False
NH-09,NH-10,0.0,0.0,0.0,2904,False
NH-09,NH-11,0.0,0.0,0.0,2904,False
NH-09,NH-12,0.0,0.0,0.0,2904,False
NH-09,NH-13,0.0,0.0,0.0,2904,False
NH-09,NH-14,0.0,0.0,0.0,2904,False
NH-09,NS-01,0.0,0.0,0.0,2904,False
NH-09,NS-02,0.0,0.0,0.0,2904,False
NH-09,NS-03,0.0,0.0,0.0,2904,False
NH-09,NS-05,0.0,0.0,0.0,2904,False
NH-09,RI-03,0.0,0.0,0.0,2904,False
NH-09,NS-06,0.0,0.0,0.0,2904,False
NH-09,NS-07,0.0,0.0,0.0,2904,False
NH-09,NS-08,0.0,0.0,0.0,2904,False
NH-09,NS-09,0.0,0.0,0.0,2904,False
NH-09,NS-10,0.0,0.0,0.0,2904,False
NH-09,NS-11,0.0,0.0,0.0,2904,False
NH-09,NS-12,0.0,0.0,0.0,2904,False
NH-09,NS-13,0.0,0.0,0.0,2904,False
NH-06,NS-13,0.0,0.0,0.0,2904,False
NH-09,RI-02,0.0,0.0,0.0,2904,False
NH-06,RI-01,0.0,0.0,0.0,2904,False
NH-05,NH-14,0.0,0.0,0.0,2904,False
NH-06,NS-12,0.0,0.0,0.0,2904,False
NH-02,RI-03,0.0,0.0,0.0,2904,False
NH-02,NH-13,0.0,0.0,0.0,2904,False
NH-02,NH-14,0.0,0.0,0.0,2904,False
NH-02,NS-06,0.0,0.0,0.0,2904,False
NH-02,NS-07,0.0,0.0,0.0,2904,False
NH-02,NS-09,0.0,0.0,0.0,2904,False
NH-02,NS-10,0.0,0.0,0.0,2904,False
NH-02,NS-11,0.0,0.0,0.0,2904,False
NH-02,NS-12,0.0,0.0,0.0,2904,False
