country_code,smr_key,weight_profile,scenario_family,site_id,baseline_national_rank,scenario_national_rank,rank_delta,baseline_score,scenario_score,score_delta,eligible_pair_count,small_n
HU,nuscale_voygr6,w_HI_minus_20,weight,997474f6-9bfd-4abd-a2ac-d8618db8f0b4,1,1,0,7.568,7.55,-0.017999999999999794,11,False
AT,nuscale_voygr6,w_HI_minus_20,weight,99d712ac-7993-4186-8a0e-2e88bae7e90f,3,3,0,6.646,6.605,-0.04099999999999948,6,False
TR,nuscale_voygr6,w_HI_minus_20,weight,9a6447f2-2887-4cce-a115-dc773d7f6eb1,48,48,0,6.511,6.448,-0.06299999999999972,110,False
CZ,nuscale_voygr6,w_HI_minus_20,weight,9c4291f1-173b-467e-ae26-8cb01312c605,8,8,0,6.66,6.683,0.022999999999999687,29,False
TR,nuscale_voygr6,w_HI_minus_20,weight,9eb693f6-6994-4937-bc4d-e8213baa5d47,29,28,-1,6.702,6.679,-0.022999999999999687,110,False
BG,nuscale_voygr6,w_HI_minus_20,weight,a064c7ae-e699-4a94-a18c-79bdfe42bce3,4,3,-1,6.83,6.873,0.04300000000000015,7,False
PL,nuscale_voygr6,w_HI_minus_20,weight,a19228ce-f25a-4ffd-a249-9d01403e6b81,11,11,0,7.045,7.051,0.006000000000000227,61,False
BA,nuscale_voygr6,w_HI_minus_20,weight,a23d073a-cbbd-469a-b134-380945fd3f4c,4,4,0,5.84,5.854,0.014000000000000234,5,False
SK,nuscale_voygr6,w_HI_minus_20,weight,a2d8261c-3d08-4015-946c-47dbddbd0b98,5,5,0,5.565,5.56,-0.005000000000000782,5,False
TR,nuscale_voygr6,w_HI_minus_20,weight,a4af3789-2c40-41fc-a3ec-3b8d2fc6c645,62,62,0,6.389,6.318,-0.07100000000000062,110,False
RO,nuscale_voygr6,w_HI_minus_20,weight,a4fa3246-27d6-4740-898c-bdf9dadcb88c,13,13,0,6.014,6.045,0.030999999999999694,21,False
