criterion_a,criterion_b,pearson,spearman,max_abs,n_pairs,flagged
NH-04,NH-09,-0.1101,-0.1235,0.1235,360,False
HI-07,NH-03,0.1231,0.0958,0.1231,360,False
RI-02,RI-03,-0.1226,-0.1099,0.1226,360,False
EP-01,NH-07,-0.1182,-0.122,0.122,360,False
NS-01,RI-04,-0.1219,-0.0924,0.1219,360,False
BF-02,RI-06,0.0893,0.1217,0.1217,360,False
BF-02,NS-04,-0.1168,-0.1213,0.1213,360,False
NH-14,NS-02,-0.1212,-0.1069,0.1212,360,False
HI-02,HI-06,0.1118,0.1211,0.1211,360,False
NH-02,RI-05,-0.0683,-0.1207,0.1207,360,False
NH-10,NH-14,0.0141,0.1203,0.1203,360,False
NH-07,RI-03,-0.1189,-0.1163,0.1189,360,False
NH-03,NH-05,-0.1176,-0.1188,0.1188,360,False
NH-06,NS-08,0.0443,0.1187,0.1187,360,False
BF-02,EP-04,0.0957,0.1186,0.1186,360,False
EP-03,NH-11,0.1183,0.1185,0.1185,360,False
EP-04,HI-02,0.1039,0.1177,0.1177,360,False
NS-04,RI-03,0.117,0.0376,0.117,360,False
NH-05,RI-03,0.0848,0.1155,0.1155,360,False
NH-06,NS-04,-0.0922,-0.1132,0.1132,360,False
BF-02,NH-04,0.1123,0.1076,0.1123,360,False
NH-08,RI-02,0.1123,0.0554,0.1123,360,False
BF-02,NH-06,0.1122,0.1108,0.1122,360,False
EP-04,NH-03,0.112,0.0881,0.112,360,False
NS-05,RI-06,0.072,0.112,0.112,360,False
NH-11,NS-04,0.1114,0.1025,0.1114,360,False
NH-10,NS-08,0.1102,0.1075,0.1102,360,False
BF-01,NH-01,-0.0428,-0.1097,0.1097,360,False
NH-03,NH-10,-0.1097,-0.0953,0.1097,360,False
HI-04,RI-05,0.1094,0.1023,0.1094,360,False
NH-06,NH-08,0.1087,0.0247,0.1087,360,False
EP-04,HI-04,0.0928,0.1078,0.1078,360,False
HI-04,RI-02,-0.1034,-0.107,0.107,360,False
NH-04,NS-05,0.0951,0.1069,0.1069,360,False
HI-02,RI-05,0.1062,0.0953,0.1062,360,False
EP-01,RI-06,-0.1023,-0.1061,0.1061,360,False
HI-04,NS-02,0.106,0.0983,0.106,360,False
EP-01,HI-07,0.0918,0.1059,0.1059,360,False
EP-01,NS-05,0.0691,0.1057,0.1057,360,False
NH-02,NH-03,-0.0958,-0.1053,0.1053,360,False
HI-02,NS-02,0.1051,0.0922,0.1051,360,False
BF-01,NH-08,-0.1051,-0.1022,0.1051,360,False
NH-09,NS-08,0.0997,0.1044,0.1044,360,False
RI-02,RI-06,0.1042,0.0572,0.1042,360,False
NH-01,RI-05,-0.0737,-0.1038,0.1038,360,False
NH-01,NH-06,-0.0333,-0.1037,0.1037,360,False
BF-01,EP-02,-0.096,-0.1032,0.1032,360,False
NH-01,NS-02,-0.049,-0.103,0.103,360,False
HI-02,NH-02,-0.0809,-0.1022,0.1022,360,False
BF-01,EP-01,0.0978,0.1014,0.1014,360,False
NS-02,RI-03,0.0803,0.1014,0.1014,360,False
HI-03,NH-03,0.1013,0.0933,0.1013,360,False
EP-04,NH-10,0.0936,0.1011,0.1011,360,False
NH-07,NS-02,-0.0778,-0.1009,0.1009,360,False
NH-03,NS-08,0.1001,0.0771,0.1001,360,False
NH-04,NS-02,0.1001,0.0888,0.1001,360,False
EP-01,RI-02,-0.0995,-0.0885,0.0995,360,False
NH-05,RI-05,-0.0991,-0.0699,0.0991,360,False
EP-03,HI-07,-0.0982,-0.0778,0.0982,360,False
