run_id,axis,scope_smr_key,key,metric,value,extra,created_at
fail_20260425b_ff84d75e,country,_all_,MK,n_sites,4.0,,2026-04-25 14:20:46.093377+00:00
fail_20260425b_ff84d75e,country,_all_,MK,n_sites_with_survivor,0.0,,2026-04-25 14:20:46.093378+00:00
fail_20260425b_ff84d75e,country,_all_,MK,both,0.0,,2026-04-25 14:20:46.093378+00:00
fail_20260425b_ff84d75e,country,_all_,MK,floor_only,32.0,,2026-04-25 14:20:46.093378+00:00
fail_20260425b_ff84d75e,country,_all_,MK,hard_only,0.0,,2026-04-25 14:20:46.093378+00:00
fail_20260425b_ff84d75e,country,_all_,PL,n_pairs,504.0,,2026-04-25 14:20:46.093357+00:00
fail_20260425b_ff84d75e,country,_all_,PL,n_sites_with_survivor,4.0,,2026-04-25 14:20:46.093358+00:00
fail_20260425b_ff84d75e,country,_all_,PL,both,160.0,,2026-04-25 14:20:46.093358+00:00
fail_20260425b_ff84d75e,country,_all_,PL,floor_only,248.0,,2026-04-25 14:20:46.093358+00:00
fail_20260425b_ff84d75e,country,_all_,PL,hard_only,64.0,,2026-04-25 14:20:46.093357+00:00
fail_20260425b_ff84d75e,country,_all_,PL,survived,32.0,,2026-04-25 14:20:46.093357+00:00
fail_20260425b_ff84d75e,country,_all_,PL,n_sites,63.0,,2026-04-25 14:20:46.093357+00:00
fail_20260425b_ff84d75e,country,_all_,RO,floor_only,112.0,,2026-04-25 14:20:46.093362+00:00
fail_20260425b_ff84d75e,country,_all_,RO,both,24.0,,2026-04-25 14:20:46.093362+00:00
fail_20260425b_ff84d75e,country,_all_,RO,n_sites_with_survivor,4.0,,2026-04-25 14:20:46.093362+00:00
fail_20260425b_ff84d75e,country,_all_,RO,n_sites,24.0,,2026-04-25 14:20:46.093361+00:00
fail_20260425b_ff84d75e,country,_all_,RO,n_pairs,192.0,,2026-04-25 14:20:46.093361+00:00
fail_20260425b_ff84d75e,country,_all_,RO,survived,32.0,,2026-04-25 14:20:46.093361+00:00
fail_20260425b_ff84d75e,country,_all_,RO,hard_only,24.0,,2026-04-25 14:20:46.093361+00:00
fail_20260425b_ff84d75e,country,_all_,RS,survived,16.0,,2026-04-25 14:20:46.093372+00:00
fail_20260425b_ff84d75e,country,_all_,RS,n_pairs,64.0,,2026-04-25 14:20:46.093372+00:00
fail_20260425b_ff84d75e,country,_all_,RS,n_sites,8.0,,2026-04-25 14:20:46.093371+00:00
fail_20260425b_ff84d75e,country,_all_,RS,n_sites_with_survivor,2.0,,2026-04-25 14:20:46.093373+00:00
fail_20260425b_ff84d75e,country,_all_,RS,both,16.0,,2026-04-25 14:20:46.093373+00:00
fail_20260425b_ff84d75e,country,_all_,RS,floor_only,24.0,,2026-04-25 14:20:46.093372+00:00
fail_20260425b_ff84d75e,country,_all_,RS,hard_only,8.0,,2026-04-25 14:20:46.093372+00:00
fail_20260425b_ff84d75e,country,_all_,SI,hard_only,0.0,,2026-04-25 14:20:46.093381+00:00
fail_20260425b_ff84d75e,country,_all_,SI,both,24.0,,2026-04-25 14:20:46.093382+00:00
fail_20260425b_ff84d75e,country,_all_,SI,n_sites_with_survivor,0.0,,2026-04-25 14:20:46.093382+00:00
fail_20260425b_ff84d75e,country,_all_,SI,n_sites,3.0,,2026-04-25 14:20:46.093381+00:00
fail_20260425b_ff84d75e,country,_all_,SI,n_pairs,24.0,,2026-04-25 14:20:46.093381+00:00
fail_20260425b_ff84d75e,country,_all_,SI,survived,0.0,,2026-04-25 14:20:46.093381+00:00
fail_20260425b_ff84d75e,country,_all_,SI,floor_only,0.0,,2026-04-25 14:20:46.093382+00:00
fail_20260425b_ff84d75e,country,_all_,SK,hard_only,0.0,,2026-04-25 14:20:46.093374+00:00
fail_20260425b_ff84d75e,country,_all_,SK,n_pairs,48.0,,2026-04-25 14:20:46.093373+00:00
fail_20260425b_ff84d75e,country,_all_,SK,n_sites,6.0,,2026-04-25 14:20:46.093373+00:00
fail_20260425b_ff84d75e,country,_all_,SK,n_sites_with_survivor,0.0,,2026-04-25 14:20:46.093375+00:00
fail_20260425b_ff84d75e,country,_all_,SK,both,48.0,,2026-04-25 14:20:46.093375+00:00
fail_20260425b_ff84d75e,country,_all_,SK,floor_only,0.0,,2026-04-25 14:20:46.093374+00:00
fail_20260425b_ff84d75e,country,_all_,SK,survived,0.0,,2026-04-25 14:20:46.093374+00:00
fail_20260425b_ff84d75e,country,_all_,TR,n_sites,146.0,,2026-04-25 14:20:46.093355+00:00
fail_20260425b_ff84d75e,country,_all_,TR,n_sites_with_survivor,15.0,,2026-04-25 14:20:46.093357+00:00
fail_20260425b_ff84d75e,country,_all_,TR,both,208.0,,2026-04-25 14:20:46.093356+00:00
fail_20260425b_ff84d75e,country,_all_,TR,floor_only,728.0,,2026-04-25 14:20:46.093356+00:00
fail_20260425b_ff84d75e,country,_all_,TR,hard_only,112.0,,2026-04-25 14:20:46.093356+00:00
fail_20260425b_ff84d75e,country,_all_,TR,survived,120.0,,2026-04-25 14:20:46.093355+00:00
fail_20260425b_ff84d75e,country,_all_,TR,n_pairs,1168.0,,2026-04-25 14:20:46.093355+00:00
fail_20260425b_ff84d75e,country,_all_,UA,n_sites,20.0,,2026-04-25 14:20:46.093362+00:00
fail_20260425b_ff84d75e,country,_all_,UA,n_sites_with_survivor,0.0,,2026-04-25 14:20:46.093364+00:00
fail_20260425b_ff84d75e,country,_all_,UA,both,144.0,,2026-04-25 14:20:46.093364+00:00
fail_20260425b_ff84d75e,country,_all_,UA,floor_only,16.0,,2026-04-25 14:20:46.093363+00:00
fail_20260425b_ff84d75e,country,_all_,UA,hard_only,0.0,,2026-04-25 14:20:46.093363+00:00
fail_20260425b_ff84d75e,country,_all_,UA,survived,0.0,,2026-04-25 14:20:46.093363+00:00
fail_20260425b_ff84d75e,country,_all_,UA,n_pairs,160.0,,2026-04-25 14:20:46.093363+00:00
fail_20260425b_ff84d75e,country,_all_,XK,n_sites_with_survivor,0.0,,2026-04-25 14:20:46.093380+00:00
fail_20260425b_ff84d75e,country,_all_,XK,n_sites,4.0,,2026-04-25 14:20:46.093379+00:00
fail_20260425b_ff84d75e,country,_all_,XK,n_pairs,32.0,,2026-04-25 14:20:46.093379+00:00
fail_20260425b_ff84d75e,country,_all_,XK,survived,0.0,,2026-04-25 14:20:46.093379+00:00
fail_20260425b_ff84d75e,country,_all_,XK,hard_only,16.0,,2026-04-25 14:20:46.093379+00:00
fail_20260425b_ff84d75e,country,_all_,XK,floor_only,0.0,,2026-04-25 14:20:46.093380+00:00
fail_20260425b_ff84d75e,country,_all_,XK,both,16.0,,2026-04-25 14:20:46.093380+00:00
fail_20260425b_ff84d75e,smr,_all_,bwrx_300,both,147.0,,2026-04-25 14:20:46.093391+00:00
fail_20260425b_ff84d75e,smr,_all_,bwrx_300,n_pairs,363.0,,2026-04-25 14:20:46.093390+00:00
fail_20260425b_ff84d75e,smr,_all_,bwrx_300,survived,26.0,,2026-04-25 14:20:46.093391+00:00
fail_20260425b_ff84d75e,smr,_all_,bwrx_300,hard_only,29.0,,2026-04-25 14:20:46.093391+00:00
fail_20260425b_ff84d75e,smr,_all_,bwrx_300,floor_only,161.0,,2026-04-25 14:20:46.093391+00:00
fail_20260425b_ff84d75e,smr,_all_,holtec_smr300,n_pairs,363.0,,2026-04-25 14:20:46.093392+00:00
fail_20260425b_ff84d75e,smr,_all_,holtec_smr300,both,147.0,,2026-04-25 14:20:46.093393+00:00
fail_20260425b_ff84d75e,smr,_all_,holtec_smr300,floor_only,161.0,,2026-04-25 14:20:46.093392+00:00
fail_20260425b_ff84d75e,smr,_all_,holtec_smr300,hard_only,29.0,,2026-04-25 14:20:46.093392+00:00
fail_20260425b_ff84d75e,smr,_all_,holtec_smr300,survived,26.0,,2026-04-25 14:20:46.093392+00:00
fail_20260425b_ff84d75e,smr,_all_,natrium_nominal,hard_only,29.0,,2026-04-25 14:20:46.093393+00:00
fail_20260425b_ff84d75e,smr,_all_,natrium_nominal,n_pairs,363.0,,2026-04-25 14:20:46.093393+00:00
fail_20260425b_ff84d75e,smr,_all_,natrium_nominal,both,147.0,,2026-04-25 14:20:46.093394+00:00
fail_20260425b_ff84d75e,smr,_all_,natrium_nominal,floor_only,161.0,,2026-04-25 14:20:46.093393+00:00
fail_20260425b_ff84d75e,smr,_all_,natrium_nominal,survived,26.0,,2026-04-25 14:20:46.093393+00:00
fail_20260425b_ff84d75e,smr,_all_,natrium_peak,survived,26.0,,2026-04-25 14:20:46.093394+00:00
fail_20260425b_ff84d75e,smr,_all_,natrium_peak,floor_only,161.0,,2026-04-25 14:20:46.093395+00:00
fail_20260425b_ff84d75e,smr,_all_,natrium_peak,both,147.0,,2026-04-25 14:20:46.093395+00:00
fail_20260425b_ff84d75e,smr,_all_,natrium_peak,n_pairs,363.0,,2026-04-25 14:20:46.093394+00:00
fail_20260425b_ff84d75e,smr,_all_,natrium_peak,hard_only,29.0,,2026-04-25 14:20:46.093394+00:00
fail_20260425b_ff84d75e,smr,_all_,nuscale_voygr6,survived,26.0,,2026-04-25 14:20:46.093395+00:00
fail_20260425b_ff84d75e,smr,_all_,nuscale_voygr6,floor_only,161.0,,2026-04-25 14:20:46.093396+00:00
fail_20260425b_ff84d75e,smr,_all_,nuscale_voygr6,both,147.0,,2026-04-25 14:20:46.093396+00:00
fail_20260425b_ff84d75e,smr,_all_,nuscale_voygr6,n_pairs,363.0,,2026-04-25 14:20:46.093395+00:00
fail_20260425b_ff84d75e,smr,_all_,nuscale_voygr6,hard_only,29.0,,2026-04-25 14:20:46.093396+00:00
fail_20260425b_ff84d75e,smr,_all_,oklo_aurora,n_pairs,363.0,,2026-04-25 14:20:46.093396+00:00
fail_20260425b_ff84d75e,smr,_all_,oklo_aurora,survived,26.0,,2026-04-25 14:20:46.093396+00:00
fail_20260425b_ff84d75e,smr,_all_,oklo_aurora,hard_only,29.0,,2026-04-25 14:20:46.093397+00:00
fail_20260425b_ff84d75e,smr,_all_,oklo_aurora,floor_only,161.0,,2026-04-25 14:20:46.093397+00:00
fail_20260425b_ff84d75e,smr,_all_,oklo_aurora,both,147.0,,2026-04-25 14:20:46.093397+00:00
fail_20260425b_ff84d75e,smr,_all_,rolls_royce_smr,both,147.0,,2026-04-25 14:20:46.093398+00:00
fail_20260425b_ff84d75e,smr,_all_,rolls_royce_smr,floor_only,161.0,,2026-04-25 14:20:46.093398+00:00
fail_20260425b_ff84d75e,smr,_all_,rolls_royce_smr,hard_only,29.0,,2026-04-25 14:20:46.093398+00:00
fail_20260425b_ff84d75e,smr,_all_,rolls_royce_smr,survived,26.0,,2026-04-25 14:20:46.093398+00:00
fail_20260425b_ff84d75e,smr,_all_,rolls_royce_smr,n_pairs,363.0,,2026-04-25 14:20:46.093397+00:00
fail_20260425b_ff84d75e,smr,_all_,xe_100,n_pairs,363.0,,2026-04-25 14:20:46.093398+00:00
fail_20260425b_ff84d75e,smr,_all_,xe_100,survived,26.0,,2026-04-25 14:20:46.093399+00:00
fail_20260425b_ff84d75e,smr,_all_,xe_100,hard_only,29.0,,2026-04-25 14:20:46.093399+00:00
fail_20260425b_ff84d75e,smr,_all_,xe_100,floor_only,161.0,,2026-04-25 14:20:46.093399+00:00
fail_20260425b_ff84d75e,smr,_all_,xe_100,both,147.0,,2026-04-25 14:20:46.093399+00:00
fail_20260425b_ff84d75e,multi_failure_histogram,_all_,1,pairs_with_n_failures,1128.0,,2026-04-25 14:20:46.093399+00:00
fail_20260425b_ff84d75e,multi_failure_histogram,_all_,2,pairs_with_n_failures,920.0,,2026-04-25 14:20:46.093400+00:00
fail_20260425b_ff84d75e,multi_failure_histogram,_all_,3,pairs_with_n_failures,544.0,,2026-04-25 14:20:46.093400+00:00
fail_20260425b_ff84d75e,multi_failure_histogram,_all_,4,pairs_with_n_failures,96.0,,2026-04-25 14:20:46.093400+00:00
fail_20260425b_ff84d75e,multi_failure_histogram,_all_,5,pairs_with_n_failures,8.0,,2026-04-25 14:20:46.093400+00:00
fail_20260425b_ff84d75e,summary,_all_,global,n_distinct_smrs,8.0,,2026-04-25 14:20:46.093347+00:00
fail_20260425b_ff84d75e,summary,_all_,global,both,1176.0,,2026-04-25 14:20:46.093347+00:00
fail_20260425b_ff84d75e,summary,_all_,global,floor_only,1288.0,,2026-04-25 14:20:46.093346+00:00
fail_20260425b_ff84d75e,summary,_all_,global,hard_only,232.0,,2026-04-25 14:20:46.093346+00:00
fail_20260425b_ff84d75e,summary,_all_,global,survived,208.0,,2026-04-25 14:20:46.093346+00:00
fail_20260425b_ff84d75e,summary,_all_,global,total_pairs,2904.0,,2026-04-25 14:20:46.093344+00:00
fail_20260425b_ff84d75e,summary,_all_,global,failed_any,2696.0,,2026-04-25 14:20:46.093348+00:00
fail_20260425b_ff84d75e,summary,_all_,global,failed_by_hard,1408.0,,2026-04-25 14:20:46.093348+00:00
fail_20260425b_ff84d75e,summary,_all_,global,failed_by_floor,2464.0,,2026-04-25 14:20:46.093348+00:00
fail_20260425b_ff84d75e,summary,_all_,global,n_distinct_sites,363.0,,2026-04-25 14:20:46.093347+00:00
fail_20260425b_ff84d75e,criterion,nuscale_voygr6,EP-01,hard_pairs,57.0,{'criterion_name': 'Emergency-plan feasibility (composite)'},2026-04-25 14:20:46.555302+00:00
fail_20260425b_ff84d75e,criterion,nuscale_voygr6,EP-01,intersection_pairs,0.0,,2026-04-25 14:20:46.555302+00:00
fail_20260425b_ff84d75e,criterion,nuscale_voygr6,EP-01,union_pairs,267.0,,2026-04-25 14:20:46.555302+00:00
fail_20260425b_ff84d75e,criterion,nuscale_voygr6,EP-01,floor_pairs,210.0,,2026-04-25 14:20:46.555302+00:00
fail_20260425b_ff84d75e,criterion,nuscale_voygr6,NH-02,union_pairs,88.0,,2026-04-25 14:20:46.555305+00:00
fail_20260425b_ff84d75e,criterion,nuscale_voygr6,NH-02,intersection_pairs,0.0,,2026-04-25 14:20:46.555305+00:00
fail_20260425b_ff84d75e,criterion,nuscale_voygr6,NH-02,hard_pairs,50.0,{'criterion_name': 'Seismic surface rupture (capable faults)'},2026-04-25 14:20:46.555305+00:00
