ranking_id,site_id,smr_key,composite_score,rank_position,passed_exclusionary,passed_avoidance,criteria_coverage,avg_confidence,sensitivity_stable,per_category_scores,run_id,ranked_at,composite_score_low,composite_score_high,weight_profile,site_name,country_code
41b475a4-e849-4edc-b149-749003f4278e,b789a244-7d29-4be3-afe4-2f45d7f11eab,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.578112+00:00,,,baseline,Czestochowa CHP power station,PL
c5fba000-54f4-46c1-930f-339a2a81dfa0,e9a1ae49-ff79-462c-af4e-7c6843221d36,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.582809+00:00,,,baseline,Gdansk-2 power station,PL
b2033fe6-a5f1-4897-aaca-b61a9010cbaf,29479c3f-8db8-4f62-90e8-59ad6739f90b,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.591340+00:00,,,baseline,Halemba power station,PL
1e9ff615-c2d9-42b5-9ad9-9da9713b7a79,98019711-a8c3-424a-870e-00d4fea75ed1,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.961120+00:00,,,baseline,Şırnak Silopi (CİNER) power station,TR
d0ecb76c-e27b-4a7c-9688-58ce8dfe7121,021d1717-149a-4a32-af7b-5955ff593e45,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.965474+00:00,,,baseline,Star Refinery Socar power station,TR
9b188487-1850-4518-bc57-67b7cd175e26,0ada7b2a-f928-4c21-b082-4c7345094245,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.968392+00:00,,,baseline,Tekirdağ Malkara power station,TR
80632377-ae7d-417b-872f-77041e029a02,399668d6-bfed-4e5b-bf38-9ee5902101c3,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.594300+00:00,,,baseline,Katowice PKE power station,PL
16c4749d-53a3-49ba-9506-684096db32a8,c9c85786-eb26-4e7b-b280-83a54b7e834f,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.852071+00:00,,,baseline,Gölovası power station,TR
e204229c-3370-4a55-a89c-e9ea55fa176b,6c9571c4-5d3b-4f88-a7be-fa8c21425eeb,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.974841+00:00,,,baseline,Tufanbeyli power station,TR
aadd0a48-751b-4a07-8662-50ee290bc99b,67e5a20f-e3ab-4c18-9864-cf4591d6e15f,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.395485+00:00,,,baseline,Bugojno Thermal Power Project,BA
e3a35cd6-1086-4305-aa70-0f46819cc603,e299922a-1670-4aff-acda-fd80600af9af,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.481482+00:00,,,baseline,Mondi Steti power station,CZ
a8d0640f-d4ab-4905-999f-c7ba2efbdf6a,0b187a1d-55de-47cf-96a3-06abc8ff2476,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.604276+00:00,,,baseline,Leczna Power Station (Bogdanka SA),PL
81955b36-3073-4f40-a0f4-81bede1fec90,ddc8bb9c-bf77-4075-b38c-600fb072acf8,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.977880+00:00,,,baseline,Uluköy power station,TR
e575f920-2d08-4414-8b9f-037243b21709,381221dd-76da-4adf-9b19-5da9f0779c22,nuscale_voygr6,,,False,True,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.981571+00:00,,,baseline,Vize power station,TR
