run_id,site_id,smr_key,country_code,bucket,n_hard,n_floor,n_distinct_failures,hard_criteria,floor_criteria,created_at,site_name,country_code
fail_20260425b_ff84d75e,274ec928-e527-44cf-86c5-b6eddc09d0f7,nuscale_voygr6,CZ,both,1,3,3,['NH-05'],"['EP-01', 'NH-04', 'NH-05']",2026-04-25 14:20:46.515609+00:00,Komorany power station,CZ
fail_20260425b_ff84d75e,2fe0a0b3-4108-427e-8e54-f77e1ea7227c,nuscale_voygr6,CZ,both,1,3,3,['NH-05'],"['EP-01', 'NH-04', 'NH-05']",2026-04-25 14:20:46.515609+00:00,Ledvice power station,CZ
fail_20260425b_ff84d75e,1c059a42-608c-4753-8fcf-ba797d94f900,nuscale_voygr6,CZ,both,2,1,2,"['EP-01', 'NH-05']",['NH-05'],2026-04-25 14:20:46.515608+00:00,Malesice power station,CZ
fail_20260425b_ff84d75e,cbd67443-4a4e-44fd-a9ed-20ba9574c99e,nuscale_voygr6,CZ,both,1,3,3,['NH-05'],"['EP-01', 'NH-04', 'NH-05']",2026-04-25 14:20:46.515613+00:00,Marianske Hory power station,CZ
fail_20260425b_ff84d75e,f3523341-daaa-4573-a856-becb2e1bb9e3,nuscale_voygr6,CZ,both,1,2,2,['NH-05'],"['EP-01', 'NH-05']",2026-04-25 14:20:46.515614+00:00,Melnik power station,CZ
fail_20260425b_ff84d75e,e299922a-1670-4aff-acda-fd80600af9af,nuscale_voygr6,CZ,both,1,2,2,['NH-05'],"['EP-01', 'NH-05']",2026-04-25 14:20:46.515613+00:00,Mondi Steti power station,CZ
fail_20260425b_ff84d75e,4eb7914c-e000-403c-b5a5-c350de67bb83,nuscale_voygr6,CZ,both,1,2,2,['NH-05'],"['NH-04', 'NH-05']",2026-04-25 14:20:46.515610+00:00,Mostecka Power Station,CZ
fail_20260425b_ff84d75e,44d40276-5847-41d1-ab9b-887bbdc1bcfe,nuscale_voygr6,CZ,both,2,1,2,"['EP-01', 'NH-05']",['NH-05'],2026-04-25 14:20:46.515610+00:00,Olomouc power station,CZ
fail_20260425b_ff84d75e,05daa6b2-bb29-4c26-a459-855626673955,nuscale_voygr6,CZ,both,1,2,2,['NH-05'],"['EP-01', 'NH-05']",2026-04-25 14:20:46.515607+00:00,Opatovice power station,CZ
fail_20260425b_ff84d75e,9c4291f1-173b-467e-ae26-8cb01312c605,nuscale_voygr6,CZ,both,1,1,1,['NH-05'],['NH-05'],2026-04-25 14:20:46.515612+00:00,Plana Nad Luznici power station,CZ
fail_20260425b_ff84d75e,97ed917e-acfa-4002-be89-4ec44972ab45,nuscale_voygr6,CZ,both,2,2,3,"['EP-01', 'NH-05']","['NH-04', 'NH-05']",2026-04-25 14:20:46.515611+00:00,Plzen CHP power station,CZ
fail_20260425b_ff84d75e,a6bf9980-016e-47ea-b40a-82e384a9eb43,nuscale_voygr6,CZ,both,2,2,3,"['EP-01', 'NH-05']","['NH-04', 'NH-05']",2026-04-25 14:20:46.515612+00:00,Plzenska energetika ELU III power station,CZ
