site_id,name,country_code,country_name,latitude,longitude,plant_type,status,region,elevation_m,installed_capacity_mw,site_area_ha
997474f6-9bfd-4abd-a2ac-d8618db8f0b4,Mohacs power station,HU,Hungary,45.99593,18.67985,coal,cancelled,Europe,94.58,1200.0,30.16
651839d3-4e8f-4214-89aa-1f96ea221121,Oroszlány power station,HU,Hungary,47.501741,18.271075,lignite,mothballed,Europe,175.27,250.0,43.26
e1649639-2e45-4226-9c7a-783d2dcb6724,Pecs power station,HU,Hungary,46.064103,18.263048,coal,retired,Europe,156.04,60.0,1.69
5de5f907-98e7-42d3-a7dd-cb65f839697b,Tiszapalkonya power station,HU,Hungary,47.916826,21.075933,coal,retired,Europe,95.41,265.0,18.77
059b3ad4-7196-4e6b-b169-8605ceeed841,Torony power station,HU,Hungary,47.23626,16.53706,coal,cancelled,Europe,235.08,600.0,7.89
1a5b8f8f-f4be-4514-8738-755d25e19b41,Kurzeme power station,LV,Latvia,57.409408,21.594695,coal,cancelled,Europe,9.95,435.0,8.7
b3eb5dd2-98cf-40c4-b9ee-2a86fd066093,Kuchurgan power station,MD,Moldova,46.629027,29.939714,coal,mothballed,Europe,11.51,1400.0,186.16
3795824b-cb76-48dd-a65c-764c757ddc76,Bar power station,ME,Montenegro,42.1,19.1,coal,cancelled,Europe,11.9,800.0,9.68
e77a7e7f-11ba-4e61-98da-f44471bc52ab,Berane power station,ME,Montenegro,42.84,19.86,lignite,cancelled,Europe,701.5,110.0,
a851b5f3-8392-4766-82b9-379c6c04fe5d,Maoce Power Station,ME,Montenegro,43.36,19.36,coal,cancelled,Europe,774.79,500.0,43.45
a9385c82-79b7-4f8d-b609-0a12ed946fe6,Pljevlja power station,ME,Montenegro,43.334574,19.32714,lignite,operating,Europe,767.47,479.0,29.88
1739b1b7-a6f3-466c-9dfa-3d1de9d5b6db,Bitola power station,MK,North Macedonia,41.05832,21.484266,lignite,operating,Europe,596.74,699.0,145.73
7bff5ef2-646d-4b83-83b0-7f3da32f0254,Mariovo power station,MK,North Macedonia,41.122815,21.805115,lignite,cancelled,Europe,921.12,300.0,
83d3abe4-2049-47ad-a66b-46034edb7569,Negotino power station,MK,North Macedonia,41.483333,22.1,lignite,cancelled,Europe,179.16,300.0,5.25
756218bb-3f16-443e-b6c6-400cd0ce2f87,Oslomej power station,MK,North Macedonia,41.582133,21.000288,coal,operating,Europe,698.47,254.5,18.84
e4e3b5f0-7038-47a5-84e3-04eb07b3c4d7,Adamow power station,PL,Poland,52.012307,18.546212,lignite,retired,Europe,119.62,600.0,5.96
d3b5a049-6bff-400b-9312-96985f03acea,Bedzin power station,PL,Poland,50.303889,19.137778,coal,operating,Europe,260.72,81.5,13.42
8e485f8a-5c68-4541-ab1d-77783f6fcb2d,Belchatow power station,PL,Poland,51.266389,19.330556,lignite,operating,Europe,215.27,6258.0,231.1
06641fea-8997-4b69-a618-6afa34b82591,Bialystok power station,PL,Poland,53.147965,23.169649,coal,operating,Europe,136.71,175.0,27.13
73fe8f06-c53b-4877-9c1d-5caf3d8f2749,Bielsko-Biala power station,PL,Poland,49.811696,19.052943,coal,operating,Europe,332.78,166.0,63.06
ccc15bde-1c5a-40bf-8f09-2fcb1e896ce5,Blachownia power station,PL,Poland,50.783333,18.966667,coal,cancelled,Europe,261.13,1075.0,10.39
9f4a0d6c-e2fa-4e9b-b412-d779d4abf82c,Bydgoszcz power station,PL,Poland,53.09918,18.0889,coal,operating,Europe,63.28,227.0,40.66
a91dfe3d-93e0-43a1-99d2-41abdd1fc2ce,Chorzow Elcho power station,PL,Poland,50.307464,18.969459,coal,operating,Europe,307.33,226.0,169.89
a6b51b4f-ba1d-49cd-bc99-8898acdbeb78,Czeczott power station,PL,Poland,49.966667,18.95,coal,cancelled,Europe,257.48,1000.0,9.03
b789a244-7d29-4be3-afe4-2f45d7f11eab,Czestochowa CHP power station,PL,Poland,50.794406,19.14242,coal,operating,Europe,252.8,64.0,6.92
558e7bff-5b5d-4666-9ca3-ec02f2269aab,Dolna Odra power station,PL,Poland,53.20778,14.46722,coal,operating,Europe,10.84,1792.0,76.1
e9a1ae49-ff79-462c-af4e-7c6843221d36,Gdansk-2 power station,PL,Poland,54.378201,18.641284,coal,operating,Europe,9.4,217.8,143.61
ad7a9c00-0c75-411f-8f89-859e603df1e6,Gdynia-3 power station,PL,Poland,54.553355,18.480791,coal,operating,Europe,22.59,105.2,141.25
416aab55-6fd9-4a0a-b8f8-796fb62d86a5,Gliwice Works power station,PL,Poland,50.317682,18.626547,coal,operating,Europe,225.27,32.0,58.3
40650551-0c9c-45ea-bac6-befdb0cb5909,Gorzow power station,PL,Poland,52.7504,15.2712,coal,operating,Europe,78.24,62.0,22.65
917008f5-fba1-4ef7-b82d-9aded2b69267,Gubin Power Project,PL,Poland,51.948982,14.728458,lignite,cancelled,Europe,48.31,3000.0,0.05
29479c3f-8db8-4f62-90e8-59ad6739f90b,Halemba power station,PL,Poland,50.2325,18.851944,coal,cancelled,Europe,237.58,640.0,59.94
c4d7f628-c108-4496-ac02-6076ea3ae448,Jaworzno power station,PL,Poland,50.213351,19.22806,coal,operating,Europe,264.52,2455.0,58.1
399668d6-bfed-4e5b-bf38-9ee5902101c3,Katowice PKE power station,PL,Poland,50.28568,19.05438,coal,operating,Europe,273.18,135.0,37.34
239ea0eb-a9c4-43cc-ac5f-35271bdc6613,Kedzierzyn CCS Project,PL,Poland,50.34988,18.226184,lignite,cancelled,Europe,182.02,910.0,5.34
c39819ef-6798-4c01-9a82-9eead65b5f56,Konin power station,PL,Poland,52.283657,18.269475,lignite,retired,Europe,100.43,165.0,28.33
4411a22e-4e8a-4715-b000-1aae34494b68,Kozienice power station,PL,Poland,51.58293,21.54779,coal,operating,Europe,116.39,5069.0,8.76
409dde58-5df1-44d9-b5ec-f8e2edd86786,Krakow-Leg power station,PL,Poland,50.054021,20.006018,coal,operating,Europe,206.33,460.0,46.63
27fc89b3-ee57-44ac-8073-a700bc8d12e8,Lagisza power station,PL,Poland,50.35016,19.14351,coal,operating,Europe,270.91,1180.0,48.44
de6735bd-7a79-43c8-baad-1fe23d50d6f0,Laziska power station,PL,Poland,50.134526,18.844352,coal,operating,Europe,290.21,1155.0,43.16
0b187a1d-55de-47cf-96a3-06abc8ff2476,Leczna Power Station (Bogdanka SA),PL,Poland,51.3009,22.88211,coal,cancelled,Europe,173.2,500.0,1.01
ebc0f461-acfa-47da-8094-5b15ea3e25a0,Leczna Power Station (Enea),PL,Poland,51.3,22.883333,coal,cancelled,Europe,174.96,500.0,1.01
187b4fd7-6a61-4e94-8ed4-495ac6dfc317,Legnica Power Station,PL,Poland,51.207007,16.155323,lignite,cancelled,Europe,122.98,800.0,6.25
29a58981-aaf7-4450-ad41-49dd6d786168,Lodz-2 power station,PL,Poland,51.742023,19.448746,coal,retired,Europe,200.3,87.0,6.39
8dd8db4c-b62d-4f6b-a2ee-70a9ed785e7a,Lodz-3 power station,PL,Poland,51.798357,19.420734,coal,operating,Europe,203.75,198.0,14.67
ef2ee2ae-e73e-490c-aa07-746543fe20e6,Lodz-4 power station,PL,Poland,51.74564,19.53963,coal,operating,Europe,225.62,215.0,50.7
d60b377c-9bb4-4fd5-adb7-a9a9ba98ae76,Lublin Power Station,PL,Poland,51.209986,22.554122,coal,cancelled,Europe,200.34,1600.0,25.3
c42c5942-264d-43a1-a9eb-95b00480eb1a,Miechowice power station,PL,Poland,50.349073,18.841853,coal,retired,Europe,295.06,110.0,5.22
5a57ae0a-6f91-46f4-a1f5-56a6b37596e9,Murcki-Staszic power station,PL,Poland,50.180556,19.007222,coal,cancelled,Europe,293.03,40.0,5.97
52db4dae-b014-45a4-96c4-49f80c1fdd11,Opalenie power station,PL,Poland,53.742222,18.823056,coal,cancelled,Europe,21.01,1660.0,
1d19dce6-c458-4656-901d-6a8d3c548761,Opole power station,PL,Poland,50.75182,17.88196,coal,operating,Europe,155.87,3332.0,159.67
