run_id,site_id,smr_key,weight_profile,criterion_id,score_0_10,weight_normalised,weighted_contribution,category,created_at,site_name,country_code
20260425T140231_ff84d75e,dadadad9-b67e-44b8-a9ab-4cbf116da20b,nuscale_voygr6,baseline,NH-02,7.5,0.0318,0.2385,NH,2026-04-25 14:03:25.097794+00:00,Puchaczow power station,PL
20260425T140231_ff84d75e,dadadad9-b67e-44b8-a9ab-4cbf116da20b,nuscale_voygr6,baseline,NH-03,5.5,0.0247,0.136,NH,2026-04-25 14:03:25.097794+00:00,Puchaczow power station,PL
20260425T140231_ff84d75e,dadadad9-b67e-44b8-a9ab-4cbf116da20b,nuscale_voygr6,baseline,NH-04,5.5,0.0177,0.0972,NH,2026-04-25 14:03:25.097794+00:00,Puchaczow power station,PL
20260425T140231_ff84d75e,dadadad9-b67e-44b8-a9ab-4cbf116da20b,nuscale_voygr6,baseline,NH-05,5.5,0.0247,0.136,NH,2026-04-25 14:03:25.097794+00:00,Puchaczow power station,PL
20260425T140231_ff84d75e,dadadad9-b67e-44b8-a9ab-4cbf116da20b,nuscale_voygr6,baseline,NH-06,5.5,0.0177,0.0972,NH,2026-04-25 14:03:25.097795+00:00,Puchaczow power station,PL
20260425T140231_ff84d75e,dadadad9-b67e-44b8-a9ab-4cbf116da20b,nuscale_voygr6,baseline,NH-10,9.5,0.0106,0.1007,NH,2026-04-25 14:03:25.097795+00:00,Puchaczow power station,PL
20260425T140231_ff84d75e,dadadad9-b67e-44b8-a9ab-4cbf116da20b,nuscale_voygr6,baseline,NH-11,4.0,0.0106,0.0424,NH,2026-04-25 14:03:25.097795+00:00,Puchaczow power station,PL
20260425T140231_ff84d75e,dadadad9-b67e-44b8-a9ab-4cbf116da20b,nuscale_voygr6,baseline,NH-12,9.5,0.0141,0.1343,NH,2026-04-25 14:03:25.097795+00:00,Puchaczow power station,PL
20260425T140231_ff84d75e,dadadad9-b67e-44b8-a9ab-4cbf116da20b,nuscale_voygr6,baseline,NS-01,6.0,0.0283,0.1696,NS,2026-04-25 14:03:25.097796+00:00,Puchaczow power station,PL
20260425T140231_ff84d75e,dadadad9-b67e-44b8-a9ab-4cbf116da20b,nuscale_voygr6,baseline,NS-02,5.5,0.0283,0.1555,NS,2026-04-25 14:03:25.097796+00:00,Puchaczow power station,PL
20260425T140231_ff84d75e,dadadad9-b67e-44b8-a9ab-4cbf116da20b,nuscale_voygr6,baseline,NS-03,8.0,0.0283,0.2261,NS,2026-04-25 14:03:25.097796+00:00,Puchaczow power station,PL
20260425T140231_ff84d75e,dadadad9-b67e-44b8-a9ab-4cbf116da20b,nuscale_voygr6,baseline,NS-04,9.5,0.0212,0.2014,NS,2026-04-25 14:03:25.097796+00:00,Puchaczow power station,PL
20260425T140231_ff84d75e,dadadad9-b67e-44b8-a9ab-4cbf116da20b,nuscale_voygr6,baseline,NS-05,9.5,0.0177,0.1678,NS,2026-04-25 14:03:25.097796+00:00,Puchaczow power station,PL
20260425T140231_ff84d75e,dadadad9-b67e-44b8-a9ab-4cbf116da20b,nuscale_voygr6,baseline,NS-08,7.5,0.0212,0.159,NS,2026-04-25 14:03:25.097797+00:00,Puchaczow power station,PL
20260425T140231_ff84d75e,dadadad9-b67e-44b8-a9ab-4cbf116da20b,nuscale_voygr6,baseline,RI-01,5.0,0.0212,0.106,RI,2026-04-25 14:03:25.097797+00:00,Puchaczow power station,PL
20260425T140231_ff84d75e,dadadad9-b67e-44b8-a9ab-4cbf116da20b,nuscale_voygr6,baseline,RI-04,5.5,0.0283,0.1555,RI,2026-04-25 14:03:25.097797+00:00,Puchaczow power station,PL
20260425T140231_ff84d75e,dadadad9-b67e-44b8-a9ab-4cbf116da20b,nuscale_voygr6,baseline,RI-06,7.5,0.0177,0.1325,RI,2026-04-25 14:03:25.097797+00:00,Puchaczow power station,PL
20260425T140231_ff84d75e,a55e3643-8ed4-434b-b14f-2d549d09c0d9,nuscale_voygr6,baseline,EP-01,5.5,0.0283,0.1555,EP,2026-04-25 14:03:25.097833+00:00,Zarnowiec power station,PL
20260425T140231_ff84d75e,a55e3643-8ed4-434b-b14f-2d549d09c0d9,nuscale_voygr6,baseline,EP-02,3.5,0.0212,0.0742,EP,2026-04-25 14:03:25.097833+00:00,Zarnowiec power station,PL
